model,image_name,image_type,true_object,pred_object,vlm_answer,sim_to_grey,sim_to_color,correct,quality
GPT-5.5,0002g.png,grey,violin,violin,violin,1.0000001192092896,0.15240025520324707,True,L
GPT-5.5,0002c.png,color,eagle,eagle,,0.20938754081726074,0.29166510701179504,True,L
GPT-5.5,0003g.png,grey,bottle,bottle,bottle,1.0000001192092896,0.37846970558166504,True,M
GPT-5.5,0003c.png,color,bird,bottle,bottle,1.0000001192092896,0.37846970558166504,False,M
GPT-5.5,0005g.png,grey,guitar,octopus,,0.24969424307346344,0.26138848066329956,False,H
GPT-5.5,0005c.png,color,octopus,guitar,guitar,1.0,0.258713036775589,False,H
GPT-5.5,0006g.png,grey,castle,crab,,0.21933981776237488,0.27114778757095337,False,M
GPT-5.5,0006c.png,color,crab,crab,,0.21933981776237488,0.27114778757095337,True,M
GPT-5.5,0007c.png,color,dolphin,bridge,,0.30921968817710876,0.2937765121459961,False,M
GPT-5.5,0012g.png,grey,feather,tiger,tiger,0.34515008330345154,1.0000001192092896,False,L
GPT-5.5,0012c.png,color,tiger,tiger,tiger,0.34515008330345154,1.0000001192092896,True,L
GPT-5.5,0018g.png,grey,flower,flower,flower,1.0000001192092896,0.477042019367218,True,H
GPT-5.5,0030g.png,grey,branch,branch,,0.2855691909790039,0.2782021164894104,True,L
GPT-5.5,0030c.png,color,bird,branch,,0.2855691909790039,0.2782021164894104,False,L
GPT-5.5,0031g.png,grey,plume,plume,,0.24000342190265656,0.23538891971111298,True,M
GPT-5.5,0031c.png,color,dragonfly,dragonfly,dragonfly,0.30057454109191895,1.0000001192092896,True,M
GPT-5.5,0048g.png,grey,balloon,llama,,0.21769119799137115,0.2796522080898285,False,L
GPT-5.5,0048c.png,color,llama,llama,,0.21769119799137115,0.2796522080898285,True,L
GPT-5.5,0051g.png,grey,mask,mask,,0.3240286111831665,0.2986299991607666,True,L
GPT-5.5,0051c.png,color,peacock,peacock,peacock,0.34815096855163574,1.000000238418579,True,L
GPT-5.5,0057g.png,grey,boat,boat,,0.27113279700279236,0.21472786366939545,True,M
GPT-5.5,0057c.png,color,ladybug,ladybug,ladybug,0.28430768847465515,1.0,True,M
GPT-5.5,0062g.png,grey,windmill,windmill,windmill,0.9999999403953552,0.24121829867362976,True,L
GPT-5.5,0062c.png,color,fish,fish,,0.23036710917949677,0.28744736313819885,True,L
GPT-5.5,0064g.png,grey,temple,frog,,0.24535995721817017,0.27358219027519226,False,L
GPT-5.5,0064c.png,color,frog,frog,,0.24535995721817017,0.27358219027519226,True,L
GPT-5.5,0070g.png,grey,mountain,kitten,,0.269178569316864,0.3341177701950073,False,M
GPT-5.5,0070c.png,color,kitten,kitten,,0.269178569316864,0.3341177701950073,True,M
GPT-5.5,0074g.png,grey,moon,walrus,walrus,0.19094036519527435,1.0000001192092896,False,L
GPT-5.5,0074c.png,color,walrus,walrus,walrus,0.19094036519527435,1.0000001192092896,True,L
GPT-5.5,0078g.png,grey,banana,banana,,0.3152996897697449,0.31204041838645935,True,M
GPT-5.5,0078c.png,color,parrot,banana,,0.3152996897697449,0.31204041838645935,False,M
